Name,GSID
Prof. Manish Kumar Thakur,MYxL_ZkAAAAJ
Prof. Shikha Mehta,nBy-KdgAAAAJ
Prof. Anuja Arora,Uz_ML8cAAAAJ
Prof. Lokendra Kumar,z6mGkvAAAAAJ
Prof. Bhagwati Prasad Chamola,Z9NZ3lwAAAAJ
Prof. Devpriya Soni,D5lGxLYAAAAJ
Prof. Neetu Sardana,HJydVWwAAAAJ
Prof. Dharmveer Singh Rajpoot,cHCjD5IAAAAJ
Prof. Mukesh Saraswat,UHKGhhEAAAAJ
Dr. Tribhuwan Kumar Tewari,v_hclFIAAAAJ
Dr. Prakash Kumar,lWX9KlgAAAAJ
Dr. Parmeet Kaur,ATKNSzcAAAAJ
Dr. Mukta Goyal,USGXgXcAAAAJ
Dr. Anita Sahoo,maZrlYcAAAAJ
Dr. Himani Bansal,r2eb30AAAAAJ
Dr. Taj Alam,jsbu8UUAAAAJ
Dr. Suma Dawn,hgaPUCQAAAAJ
Dr. Arti Jain,W8W93c0AAAAJ
Dr. Hema Nagaraja,IbhjFkcAAAAJ
Dr. Kavita Pandey,P3qMVlAAAAAJ
Dr. Indu Chawla,wsXMoFYAAAAJ
Dr. Shikha Jain,qy2r8wsAAAAJ
Dr. Megha Rathi,lnPlF_IAAAAJ
Dr. Himanshu Agrawal,eag0Zf0AAAAJ
Dr. Niyati Aggrawal,-tuoeHAAAAAJ
Dr. Gaurav Kumar Nigam,dyjwbCgAAAAJ
Dr. Amanpreet Kaur,ywgr--sAAAAJ
Dr. Pulkit Mehndiratta,LoUdggcAAAAJ
Dr. Arpita Jadhav Bhatt,KITRdYwAAAAJ
Dr. Shardha Porwal,W0IihqMAAAAJ
Dr. Sakshi Gupta,SjAH3VMAAAAJ
Dr. Parul Agarwal,q1OCvewAAAAJ
Dr. Ankita,tRStpZgAAAAJ
Dr. Somya Jain,E_EI_c4AAAAJ
Dr. Aditi Sharma,-AxgdDgAAAAJ
Dr. Varsha Garg,szgyrN0AAAAJ
Dr. Kashav Ajmera,bJm4wTQAAAAJ
Dr. Kirti Aggarwal,9UrL68QAAAAJ
Dr. P. Raghu Vamsi,ngT8wRgAAAAJ
Dr. Payal Khurana Batra,-SiS0o8AAAAJ
Dr. Ankit Vidyarthi,h8NBQjMAAAAJ
Dr. Ankita Verma,oLh8CBsAAAAJ
Dr. Amarjeet Prajapati,RoeOU3UAAAAJ
Dr. Rashmi Kushwah,I33yPegAAAAJ
Dr. Shruti Jaiswal,D_xBJQgAAAAJ
Dr. Sonal,AlQ4YmQAAAAJ
Dr. Vivek Kumar Singh,3NOBikYAAAAJ
Dr. Alka Singhal,ZayqdbAAAAAJ
Dr. Ashish Mishra,i7NJLgMAAAAJ
Dr. Sulabh Tyagi,KBmTZoUAAAAJ
Dr Bhawna Saxena,Z_TtRgMAAAAJ
Dr. Vikash,lT3evUEAAAAJ
Dr. Amit Mishra,x4dAEV8AAAAJ
Dr. Asmita Yadav,E1WyOOYAAAAJ
Dr. Meenal Jain,SB1PiC0AAAAJ
Dr. Ankita Jaiswal,tRStpZgAAAAJ
Akanksha Mehndiratta,tNZVmx8AAAAJ
Amarjeet Kaur,c1d1oowAAAAJ
Dr. Sherry Garg,kgbKqwUAAAAJ
Dr. Naveen Chauhan,kXv5wZMAAAAJ
Dr. Shobhit Tyagi,yXwrPRUAAAAJ
Prantik Biswas,1fUCvWoAAAAJ
Dr. Tanvi Gautam,D1DP1PQAAAAJ
Dr. Jasmin,RohoDFoAAAAJ
Dr. Sayani Ghosal,-vqrgeMAAAAJ
Dr. Aastha Maheshwari,woTJ3kQAAAAJ
Dr. Shruti Gupta,qGfXfW8AAAAJ
Dr. Tarun Agrawal,etbX3FsAAAAJ
Dr. Varun Srivastava,pJumMVEAAAAJ
Dr. Mradula Sharma,sNfoBFoAAAAJ
Deepti,r_Sa3pAAAAAJ
Shariq Murtuza,z-lpll4AAAAJ
Sarishty Gupta,oa0UwSUAAAAJ
Dr. Lalita Mishra,NHp1bxYAAAAJ
Rajiv Kumar Mishra,1lG-NlAAAAAJ
Anupama Padha,jUqhSkcAAAAJ
Janardan Kumar Verma,6ArvoPAAAAAJ
Neha,G7PTxGgAAAAJ
Pankaj Mishra,ZXaesfAAAAAJ
Richa Kushwaha,w2YURGwAAAAJ
Ritika Chaudhary,53wFTCsAAAAJ
Mayuri Gupta,Cu0Sof4AAAAJ
deepti singh,
deepti,
radha krishna gopal,
